Location,Indicator,Period,Dim1,First Tooltip
Albania,Age-standardized prevalence of current tobacco smoking among persons aged 15 years and older,2015,Both sexes,29.9
Algeria,Age-standardized prevalence of current tobacco smoking among persons aged 15 years and older,2015,Both sexes,19.3
Andorra,Age-standardized prevalence of current tobacco smoking among persons aged 15 years and older,2015,Both sexes,34.2
Argentina,Age-standardized prevalence of current tobacco smoking among persons aged 15 years and older,2015,Both sexes,24.6
Armenia,Age-standardized prevalence of current tobacco smoking among persons aged 15 years and older,2015,Both sexes,27.9
Australia,Age-standardized prevalence of current tobacco smoking among persons aged 15 years and older,2015,Both sexes,17.7
Austria,Age-standardized prevalence of current tobacco smoking among persons aged 15 years and older,2015,Both sexes,31.5
Azerbaijan,Age-standardized prevalence of current tobacco smoking among persons aged 15 years and older,2015,Both sexes,20.7
Bahamas,Age-standardized prevalence of current tobacco smoking among persons aged 15 years and older,2015,Both sexes,11.0
Bahrain,Age-standardized prevalence of current tobacco smoking among persons aged 15 years and older,2015,Both sexes,25.4
Bangladesh,Age-standardized prevalence of current tobacco smoking among persons aged 15 years and older,2015,Both sexes,40.7
Barbados,Age-standardized prevalence of current tobacco smoking among persons aged 15 years and older,2015,Both sexes,8.9
Belarus,Age-standardized prevalence of current tobacco smoking among persons aged 15 years and older,2015,Both sexes,28.0
Belgium,Age-standardized prevalence of current tobacco smoking among persons aged 15 years and older,2015,Both sexes,25.7
Benin,Age-standardized prevalence of current tobacco smoking among persons aged 15 years and older,2015,Both sexes,8.3
Bosnia and Herzegovina,Age-standardized prevalence of current tobacco smoking among persons aged 15 years and older,2015,Both sexes,39.6
Botswana,Age-standardized prevalence of current tobacco smoking among persons aged 15 years and older,2015,Both sexes,24.6
Brazil,Age-standardized prevalence of current tobacco smoking among persons aged 15 years and older,2015,Both sexes,18.5
Brunei Darussalam,Age-standardized prevalence of current tobacco smoking among persons aged 15 years and older,2015,Both sexes,15.7
Bulgaria,Age-standardized prevalence of current tobacco smoking among persons aged 15 years and older,2015,Both sexes,40.5
Burkina Faso,Age-standardized prevalence of current tobacco smoking among persons aged 15 years and older,2015,Both sexes,17.4
Burundi,Age-standardized prevalence of current tobacco smoking among persons aged 15 years and older,2015,Both sexes,13.6
Cambodia,Age-standardized prevalence of current tobacco smoking among persons aged 15 years and older,2015,Both sexes,24.8
Cameroon,Age-standardized prevalence of current tobacco smoking among persons aged 15 years and older,2015,Both sexes,9.4
Canada,Age-standardized prevalence of current tobacco smoking among persons aged 15 years and older,2015,Both sexes,20.0
Chad,Age-standardized prevalence of current tobacco smoking among persons aged 15 years and older,2015,Both sexes,12.2
Chile,Age-standardized prevalence of current tobacco smoking among persons aged 15 years and older,2015,Both sexes,45.9
China,Age-standardized prevalence of current tobacco smoking among persons aged 15 years and older,2015,Both sexes,25.3
Colombia,Age-standardized prevalence of current tobacco smoking among persons aged 15 years and older,2015,Both sexes,8.9
Comoros,Age-standardized prevalence of current tobacco smoking among persons aged 15 years and older,2015,Both sexes,21.8
Congo,Age-standardized prevalence of current tobacco smoking among persons aged 15 years and older,2015,Both sexes,15.0
Cook Islands,Age-standardized prevalence of current tobacco smoking among persons aged 15 years and older,2015,Both sexes,28.8
Costa Rica,Age-standardized prevalence of current tobacco smoking among persons aged 15 years and older,2015,Both sexes,10.8
Côte d’Ivoire,Age-standardized prevalence of current tobacco smoking among persons aged 15 years and older,2015,Both sexes,13.8
Croatia,Age-standardized prevalence of current tobacco smoking among persons aged 15 years and older,2015,Both sexes,36.3
Cuba,Age-standardized prevalence of current tobacco smoking among persons aged 15 years and older,2015,Both sexes,29.4
Cyprus,Age-standardized prevalence of current tobacco smoking among persons aged 15 years and older,2015,Both sexes,37.5
Czechia,Age-standardized prevalence of current tobacco smoking among persons aged 15 years and older,2015,Both sexes,32.1
Democratic People's Republic of Korea,Age-standardized prevalence of current tobacco smoking among persons aged 15 years and older,2015,Both sexes,19.2
Denmark,Age-standardized prevalence of current tobacco smoking among persons aged 15 years and older,2015,Both sexes,20.8
Dominican Republic,Age-standardized prevalence of current tobacco smoking among persons aged 15 years and older,2015,Both sexes,10.5
Egypt,Age-standardized prevalence of current tobacco smoking among persons aged 15 years and older,2015,Both sexes,21.3
El Salvador,Age-standardized prevalence of current tobacco smoking among persons aged 15 years and older,2015,Both sexes,13.6
Eritrea,Age-standardized prevalence of current tobacco smoking among persons aged 15 years and older,2015,Both sexes,7.9
Estonia,Age-standardized prevalence of current tobacco smoking among persons aged 15 years and older,2015,Both sexes,32.1
Eswatini,Age-standardized prevalence of current tobacco smoking among persons aged 15 years and older,2015,Both sexes,10.8
Ethiopia,Age-standardized prevalence of current tobacco smoking among persons aged 15 years and older,2015,Both sexes,4.9
Fiji,Age-standardized prevalence of current tobacco smoking among persons aged 15 years and older,2015,Both sexes,27.4
Finland,Age-standardized prevalence of current tobacco smoking among persons aged 15 years and older,2015,Both sexes,20.9
France,Age-standardized prevalence of current tobacco smoking among persons aged 15 years and older,2015,Both sexes,34.5
Gambia,Age-standardized prevalence of current tobacco smoking among persons aged 15 years and older,2015,Both sexes,15.3
Georgia,Age-standardized prevalence of current tobacco smoking among persons aged 15 years and older,2015,Both sexes,30.4
Germany,Age-standardized prevalence of current tobacco smoking among persons aged 15 years and older,2015,Both sexes,28.9
Ghana,Age-standardized prevalence of current tobacco smoking among persons aged 15 years and older,2015,Both sexes,4.0
Greece,Age-standardized prevalence of current tobacco smoking among persons aged 15 years and older,2015,Both sexes,40.6
Guyana,Age-standardized prevalence of current tobacco smoking among persons aged 15 years and older,2015,Both sexes,13.8
Haiti,Age-standardized prevalence of current tobacco smoking among persons aged 15 years and older,2015,Both sexes,8.8
Hungary,Age-standardized prevalence of current tobacco smoking among persons aged 15 years and older,2015,Both sexes,31.9
Iceland,Age-standardized prevalence of current tobacco smoking among persons aged 15 years and older,2015,Both sexes,15.7
India,Age-standardized prevalence of current tobacco smoking among persons aged 15 years and older,2015,Both sexes,29.6
Indonesia,Age-standardized prevalence of current tobacco smoking among persons aged 15 years and older,2015,Both sexes,38.2
Iran (Islamic Republic of),Age-standardized prevalence of current tobacco smoking among persons aged 15 years and older,2015,Both sexes,15.1
Iraq,Age-standardized prevalence of current tobacco smoking among persons aged 15 years and older,2015,Both sexes,22.9
Ireland,Age-standardized prevalence of current tobacco smoking among persons aged 15 years and older,2015,Both sexes,25.3
Israel,Age-standardized prevalence of current tobacco smoking among persons aged 15 years and older,2015,Both sexes,26.2
Italy,Age-standardized prevalence of current tobacco smoking among persons aged 15 years and older,2015,Both sexes,23.8
Jamaica,Age-standardized prevalence of current tobacco smoking among persons aged 15 years and older,2015,Both sexes,12.0
Japan,Age-standardized prevalence of current tobacco smoking among persons aged 15 years and older,2015,Both sexes,23.4
Kazakhstan,Age-standardized prevalence of current tobacco smoking among persons aged 15 years and older,2015,Both sexes,25.7
Kenya,Age-standardized prevalence of current tobacco smoking among persons aged 15 years and older,2015,Both sexes,12.7
Kiribati,Age-standardized prevalence of current tobacco smoking among persons aged 15 years and older,2015,Both sexes,54.2
Kuwait,Age-standardized prevalence of current tobacco smoking among persons aged 15 years and older,2015,Both sexes,22.6
Kyrgyzstan,Age-standardized prevalence of current tobacco smoking among persons aged 15 years and older,2015,Both sexes,28.4
Lao People's Democratic Republic,Age-standardized prevalence of current tobacco smoking among persons aged 15 years and older,2015,Both sexes,40.9
Latvia,Age-standardized prevalence of current tobacco smoking among persons aged 15 years and older,2015,Both sexes,37.3
Lebanon,Age-standardized prevalence of current tobacco smoking among persons aged 15 years and older,2015,Both sexes,42.6
Lesotho,Age-standardized prevalence of current tobacco smoking among persons aged 15 years and older,2015,Both sexes,28.0
Liberia,Age-standardized prevalence of current tobacco smoking among persons aged 15 years and older,2015,Both sexes,9.1
Lithuania,Age-standardized prevalence of current tobacco smoking among persons aged 15 years and older,2015,Both sexes,28.5
Luxembourg,Age-standardized prevalence of current tobacco smoking among persons aged 15 years and older,2015,Both sexes,22.9
Madagascar,Age-standardized prevalence of current tobacco smoking among persons aged 15 years and older,2015,Both sexes,30.7
Malawi,Age-standardized prevalence of current tobacco smoking among persons aged 15 years and older,2015,Both sexes,14.3
Malaysia,Age-standardized prevalence of current tobacco smoking among persons aged 15 years and older,2015,Both sexes,22.8
Mali,Age-standardized prevalence of current tobacco smoking among persons aged 15 years and older,2015,Both sexes,12.1
Malta,Age-standardized prevalence of current tobacco smoking among persons aged 15 years and older,2015,Both sexes,26.4
Mauritius,Age-standardized prevalence of current tobacco smoking among persons aged 15 years and older,2015,Both sexes,28.0
Mexico,Age-standardized prevalence of current tobacco smoking among persons aged 15 years and older,2015,Both sexes,15.2
Mongolia,Age-standardized prevalence of current tobacco smoking among persons aged 15 years and older,2015,Both sexes,29.0
Morocco,Age-standardized prevalence of current tobacco smoking among persons aged 15 years and older,2015,Both sexes,15.9
Mozambique,Age-standardized prevalence of current tobacco smoking among persons aged 15 years and older,2015,Both sexes,16.0
Myanmar,Age-standardized prevalence of current tobacco smoking among persons aged 15 years and older,2015,Both sexes,47.8
Namibia,Age-standardized prevalence of current tobacco smoking among persons aged 15 years and older,2015,Both sexes,18.6
Nauru,Age-standardized prevalence of current tobacco smoking among persons aged 15 years and older,2015,Both sexes,54.7
Nepal,Age-standardized prevalence of current tobacco smoking among persons aged 15 years and older,2015,Both sexes,35.7
Netherlands,Age-standardized prevalence of current tobacco smoking among persons aged 15 years and older,2015,Both sexes,24.7
New Zealand,Age-standardized prevalence of current tobacco smoking among persons aged 15 years and older,2015,Both sexes,16.6
Niger,Age-standardized prevalence of current tobacco smoking among persons aged 15 years and older,2015,Both sexes,8.4
Nigeria,Age-standardized prevalence of current tobacco smoking among persons aged 15 years and older,2015,Both sexes,5.1
Norway,Age-standardized prevalence of current tobacco smoking among persons aged 15 years and older,2015,Both sexes,21.2
Oman,Age-standardized prevalence of current tobacco smoking among persons aged 15 years and older,2015,Both sexes,9.6
Pakistan,Age-standardized prevalence of current tobacco smoking among persons aged 15 years and older,2015,Both sexes,22.3
Palau,Age-standardized prevalence of current tobacco smoking among persons aged 15 years and older,2015,Both sexes,25.1
Panama,Age-standardized prevalence of current tobacco smoking among persons aged 15 years and older,2015,Both sexes,7.9
Paraguay,Age-standardized prevalence of current tobacco smoking among persons aged 15 years and older,2015,Both sexes,14.6
Peru,Age-standardized prevalence of current tobacco smoking among persons aged 15 years and older,2015,Both sexes,11.7
Philippines,Age-standardized prevalence of current tobacco smoking among persons aged 15 years and older,2015,Both sexes,25.8
Poland,Age-standardized prevalence of current tobacco smoking among persons aged 15 years and older,2015,Both sexes,28.1
Portugal,Age-standardized prevalence of current tobacco smoking among persons aged 15 years and older,2015,Both sexes,27.3
Qatar,Age-standardized prevalence of current tobacco smoking among persons aged 15 years and older,2015,Both sexes,14.2
Republic of Korea,Age-standardized prevalence of current tobacco smoking among persons aged 15 years and older,2015,Both sexes,23.8
Republic of Moldova,Age-standardized prevalence of current tobacco smoking among persons aged 15 years and older,2015,Both sexes,25.0
Romania,Age-standardized prevalence of current tobacco smoking among persons aged 15 years and older,2015,Both sexes,27.5
Russian Federation,Age-standardized prevalence of current tobacco smoking among persons aged 15 years and older,2015,Both sexes,29.0
Rwanda,Age-standardized prevalence of current tobacco smoking among persons aged 15 years and older,2015,Both sexes,14.2
Samoa,Age-standardized prevalence of current tobacco smoking among persons aged 15 years and older,2015,Both sexes,30.5
Sao Tome and Principe,Age-standardized prevalence of current tobacco smoking among persons aged 15 years and older,2015,Both sexes,5.5
Saudi Arabia,Age-standardized prevalence of current tobacco smoking among persons aged 15 years and older,2015,Both sexes,16.6
Senegal,Age-standardized prevalence of current tobacco smoking among persons aged 15 years and older,2015,Both sexes,9.8
Serbia,Age-standardized prevalence of current tobacco smoking among persons aged 15 years and older,2015,Both sexes,41.3
Seychelles,Age-standardized prevalence of current tobacco smoking among persons aged 15 years and older,2015,Both sexes,21.7
Sierra Leone,Age-standardized prevalence of current tobacco smoking among persons aged 15 years and older,2015,Both sexes,21.8
Singapore,Age-standardized prevalence of current tobacco smoking among persons aged 15 years and older,2015,Both sexes,16.5
Slovakia,Age-standardized prevalence of current tobacco smoking among persons aged 15 years and older,2015,Both sexes,32.0
Slovenia,Age-standardized prevalence of current tobacco smoking among persons aged 15 years and older,2015,Both sexes,23.1
Solomon Islands,Age-standardized prevalence of current tobacco smoking among persons aged 15 years and older,2015,Both sexes,38.4
South Africa,Age-standardized prevalence of current tobacco smoking among persons aged 15 years and older,2015,Both sexes,32.2
Spain,Age-standardized prevalence of current tobacco smoking among persons aged 15 years and older,2015,Both sexes,29.3
Sri Lanka,Age-standardized prevalence of current tobacco smoking among persons aged 15 years and older,2015,Both sexes,23.5
Sweden,Age-standardized prevalence of current tobacco smoking among persons aged 15 years and older,2015,Both sexes,32.0
Switzerland,Age-standardized prevalence of current tobacco smoking among persons aged 15 years and older,2015,Both sexes,25.7
Thailand,Age-standardized prevalence of current tobacco smoking among persons aged 15 years and older,2015,Both sexes,24.1
Timor-Leste,Age-standardized prevalence of current tobacco smoking among persons aged 15 years and older,2015,Both sexes,40.8
Togo,Age-standardized prevalence of current tobacco smoking among persons aged 15 years and older,2015,Both sexes,8.1
Tonga,Age-standardized prevalence of current tobacco smoking among persons aged 15 years and older,2015,Both sexes,30.6
Tunisia,Age-standardized prevalence of current tobacco smoking among persons aged 15 years and older,2015,Both sexes,27.9
Turkey,Age-standardized prevalence of current tobacco smoking among persons aged 15 years and older,2015,Both sexes,30.1
Tuvalu,Age-standardized prevalence of current tobacco smoking among persons aged 15 years and older,2015,Both sexes,50.8
Uganda,Age-standardized prevalence of current tobacco smoking among persons aged 15 years and older,2015,Both sexes,11.4
Ukraine,Age-standardized prevalence of current tobacco smoking among persons aged 15 years and older,2015,Both sexes,27.3
United Arab Emirates,Age-standardized prevalence of current tobacco smoking among persons aged 15 years and older,2015,Both sexes,18.7
United Kingdom of Great Britain and Northern Ireland,Age-standardized prevalence of current tobacco smoking among persons aged 15 years and older,2015,Both sexes,21.3
United Republic of Tanzania,Age-standardized prevalence of current tobacco smoking among persons aged 15 years and older,2015,Both sexes,14.5
United States of America,Age-standardized prevalence of current tobacco smoking among persons aged 15 years and older,2015,Both sexes,26.0
Uruguay,Age-standardized prevalence of current tobacco smoking among persons aged 15 years and older,2015,Both sexes,24.0
Uzbekistan,Age-standardized prevalence of current tobacco smoking among persons aged 15 years and older,2015,Both sexes,12.8
Vanuatu,Age-standardized prevalence of current tobacco smoking among persons aged 15 years and older,2015,Both sexes,25.1
Yemen,Age-standardized prevalence of current tobacco smoking among persons aged 15 years and older,2015,Both sexes,22.2
Zambia,Age-standardized prevalence of current tobacco smoking among persons aged 15 years and older,2015,Both sexes,15.4
Zimbabwe,Age-standardized prevalence of current tobacco smoking among persons aged 15 years and older,2015,Both sexes,14.5
