,Location,Period,Indicator,Dim1,First Tooltip
3,Afghanistan,2016,Neonatal mortality rate (per 1000 live births),Both sexes,39.05 [32.59-46.17]
36,Albania,2016,Neonatal mortality rate (per 1000 live births),Both sexes,6.33 [5.82-6.82]
77,Algeria,2016,Neonatal mortality rate (per 1000 live births),Both sexes,15.07 [14.46-15.67]
128,Andorra,2016,Neonatal mortality rate (per 1000 live births),Both sexes,1.63 [0.49-5.42]
159,Angola,2016,Neonatal mortality rate (per 1000 live births),Both sexes,29.78 [14.55-53.42]
190,Antigua and Barbuda,2016,Neonatal mortality rate (per 1000 live births),Both sexes,4.1 [3.05-5.41]
239,Argentina,2016,Neonatal mortality rate (per 1000 live births),Both sexes,6.38 [6.19-6.59]
289,Armenia,2016,Neonatal mortality rate (per 1000 live births),Both sexes,7.44 [5.35-10.04]
332,Australia,2016,Neonatal mortality rate (per 1000 live births),Both sexes,2.32 [2.25-2.4]
384,Austria,2016,Neonatal mortality rate (per 1000 live births),Both sexes,2.2 [2.06-2.35]
449,Azerbaijan,2016,Neonatal mortality rate (per 1000 live births),Both sexes,13.2 [9.09-18.73]
486,Bahamas,2016,Neonatal mortality rate (per 1000 live births),Both sexes,7.28 [6.04-8.73]
537,Bahrain,2016,Neonatal mortality rate (per 1000 live births),Both sexes,3.17 [2.64-3.78]
586,Bangladesh,2016,Neonatal mortality rate (per 1000 live births),Both sexes,21.56 [20.03-23.22]
654,Barbados,2016,Neonatal mortality rate (per 1000 live births),Both sexes,9.1 [7.06-11.63]
706,Belarus,2016,Neonatal mortality rate (per 1000 live births),Both sexes,1.53 [1.29-1.79]
737,Belgium,2016,Neonatal mortality rate (per 1000 live births),Both sexes,2.18 [2.03-2.35]
797,Belize,2016,Neonatal mortality rate (per 1000 live births),Both sexes,9.59 [8.66-10.52]
849,Benin,2016,Neonatal mortality rate (per 1000 live births),Both sexes,31.9 [27.71-36.6]
911,Bhutan,2016,Neonatal mortality rate (per 1000 live births),Both sexes,18.12 [11.84-26.58]
942,Bolivia (Plurinational State of),2016,Neonatal mortality rate (per 1000 live births),Both sexes,16.49 [12.97-20.61]
996,Bosnia and Herzegovina,2016,Neonatal mortality rate (per 1000 live births),Both sexes,4.47 [4.07-4.9]
1031,Botswana,2016,Neonatal mortality rate (per 1000 live births),Both sexes,17.52 [6.48-34.76]
1086,Brazil,2016,Neonatal mortality rate (per 1000 live births),Both sexes,9.65 [8.88-10.47]
1143,Brunei Darussalam,2016,Neonatal mortality rate (per 1000 live births),Both sexes,5.38 [4.84-5.97]
1174,Bulgaria,2016,Neonatal mortality rate (per 1000 live births),Both sexes,3.85 [3.65-4.06]
1230,Burkina Faso,2016,Neonatal mortality rate (per 1000 live births),Both sexes,27.47 [19.23-37.66]
1281,Burundi,2016,Neonatal mortality rate (per 1000 live births),Both sexes,22.61 [16.22-31.5]
1337,Cabo Verde,2016,Neonatal mortality rate (per 1000 live births),Both sexes,10.92 [9.58-12.39]
1382,Cambodia,2016,Neonatal mortality rate (per 1000 live births),Both sexes,16.31 [9.96-26.9]
1425,Cameroon,2016,Neonatal mortality rate (per 1000 live births),Both sexes,27.99 [23.58-33.16]
1490,Canada,2016,Neonatal mortality rate (per 1000 live births),Both sexes,3.48 [3.37-3.58]
1541,Central African Republic,2016,Neonatal mortality rate (per 1000 live births),Both sexes,42.13 [25.52-69.71]
1590,Chad,2016,Neonatal mortality rate (per 1000 live births),Both sexes,35.04 [26.89-44.68]
1637,Chile,2016,Neonatal mortality rate (per 1000 live births),Both sexes,5 [4.59-5.44]
1689,China,2016,Neonatal mortality rate (per 1000 live births),Both sexes,4.93 [4.45-5.43]
1720,Colombia,2016,Neonatal mortality rate (per 1000 live births),Both sexes,8.24 [6.24-10.85]
1787,Comoros,2016,Neonatal mortality rate (per 1000 live births),Both sexes,31.88 [12.61-70.5]
1834,Congo,2016,Neonatal mortality rate (per 1000 live births),Both sexes,20.5 [13.27-31.86]
1872,Cook Islands,2016,Neonatal mortality rate (per 1000 live births),Both sexes,4.57 [2.52-7.89]
1903,Costa Rica,2016,Neonatal mortality rate (per 1000 live births),Both sexes,6.17 [5.9-6.44]
1970,Croatia,2016,Neonatal mortality rate (per 1000 live births),Both sexes,3.03 [2.81-3.26]
2008,Cuba,2016,Neonatal mortality rate (per 1000 live births),Both sexes,2.29 [2.03-2.59]
2060,Cyprus,2016,Neonatal mortality rate (per 1000 live births),Both sexes,1.51 [1.22-1.86]
2091,Czechia,2016,Neonatal mortality rate (per 1000 live births),Both sexes,1.61 [1.51-1.72]
2129,Democratic People's Republic of Korea,2016,Neonatal mortality rate (per 1000 live births),Both sexes,10.99 [6.55-16.26]
2160,Democratic Republic of the Congo,2016,Neonatal mortality rate (per 1000 live births),Both sexes,29.03 [19.46-41.87]
2196,Denmark,2016,Neonatal mortality rate (per 1000 live births),Both sexes,3.24 [2.83-3.6]
2256,Djibouti,2016,Neonatal mortality rate (per 1000 live births),Both sexes,32.73 [20.69-50.82]
2297,Dominica,2016,Neonatal mortality rate (per 1000 live births),Both sexes,25.51 [22.21-29.26]
2348,Dominican Republic,2016,Neonatal mortality rate (per 1000 live births),Both sexes,20.95 [15.54-28.11]
2405,Ecuador,2016,Neonatal mortality rate (per 1000 live births),Both sexes,7.67 [7.22-8.15]
2469,Egypt,2016,Neonatal mortality rate (per 1000 live births),Both sexes,12.4 [9.45-16.33]
2532,El Salvador,2016,Neonatal mortality rate (per 1000 live births),Both sexes,7.3 [4.93-10.98]
2567,Equatorial Guinea,2016,Neonatal mortality rate (per 1000 live births),Both sexes,30.93 [17.6-50.36]
2598,Eritrea,2016,Neonatal mortality rate (per 1000 live births),Both sexes,18.99 [12.29-29.25]
2641,Estonia,2016,Neonatal mortality rate (per 1000 live births),Both sexes,1.31 [1.14-1.49]
2673,Eswatini,2016,Neonatal mortality rate (per 1000 live births),Both sexes,19.36 [13.16-27.75]
2710,Ethiopia,2016,Neonatal mortality rate (per 1000 live births),Both sexes,30.65 [26.3-35.64]
2753,Fiji,2016,Neonatal mortality rate (per 1000 live births),Both sexes,10.23 [8.94-11.6]
2784,Finland,2016,Neonatal mortality rate (per 1000 live births),Both sexes,1.39 [1.29-1.5]
2844,France,2016,Neonatal mortality rate (per 1000 live births),Both sexes,2.44 [2.35-2.53]
2904,Gabon,2016,Neonatal mortality rate (per 1000 live births),Both sexes,21.7 [14.34-31.97]
2942,Gambia,2016,Neonatal mortality rate (per 1000 live births),Both sexes,29.24 [24.34-34.94]
2973,Georgia,2016,Neonatal mortality rate (per 1000 live births),Both sexes,6.11 [5.58-6.68]
3016,Germany,2016,Neonatal mortality rate (per 1000 live births),Both sexes,2.32 [2.24-2.39]
3067,Ghana,2016,Neonatal mortality rate (per 1000 live births),Both sexes,25.11 [21.59-29.15]
3122,Greece,2016,Neonatal mortality rate (per 1000 live births),Both sexes,2.64 [2.5-2.8]
3182,Grenada,2016,Neonatal mortality rate (per 1000 live births),Both sexes,10.88 [9.38-12.57]
3213,Guatemala,2016,Neonatal mortality rate (per 1000 live births),Both sexes,13.51 [11.03-16.47]
3269,Guinea,2016,Neonatal mortality rate (per 1000 live births),Both sexes,31.44 [25.86-38.4]
3313,Guinea-Bissau,2016,Neonatal mortality rate (per 1000 live births),Both sexes,37.52 [25.07-54.17]
3346,Guyana,2016,Neonatal mortality rate (per 1000 live births),Both sexes,20.04 [13.23-30.2]
3414,Haiti,2016,Neonatal mortality rate (per 1000 live births),Both sexes,26.7 [20.54-34.83]
3475,Honduras,2016,Neonatal mortality rate (per 1000 live births),Both sexes,10.12 [7.23-14.26]
3523,Hungary,2016,Neonatal mortality rate (per 1000 live births),Both sexes,2.54 [2.39-2.69]
3583,Iceland,2016,Neonatal mortality rate (per 1000 live births),Both sexes,1.1 [0.88-1.37]
3649,India,2016,Neonatal mortality rate (per 1000 live births),Both sexes,24.74 [22.91-26.66]
3700,Indonesia,2016,Neonatal mortality rate (per 1000 live births),Both sexes,13.93 [12.12-16.04]
3767,Iran (Islamic Republic of),2016,Neonatal mortality rate (per 1000 live births),Both sexes,9.59 [6.02-15.1]
3798,Iraq,2016,Neonatal mortality rate (per 1000 live births),Both sexes,16.9 [13.7-20.84]
3835,Ireland,2016,Neonatal mortality rate (per 1000 live births),Both sexes,2.33 [2.17-2.5]
3895,Israel,2016,Neonatal mortality rate (per 1000 live births),Both sexes,2.04 [1.94-2.14]
3940,Italy,2016,Neonatal mortality rate (per 1000 live births),Both sexes,2.08 [2.01-2.15]
4000,Jamaica,2016,Neonatal mortality rate (per 1000 live births),Both sexes,10.87 [6.54-18.07]
4068,Japan,2016,Neonatal mortality rate (per 1000 live births),Both sexes,0.9 [0.86-0.94]
4120,Jordan,2016,Neonatal mortality rate (per 1000 live births),Both sexes,10.04 [7.88-13]
4187,Kazakhstan,2016,Neonatal mortality rate (per 1000 live births),Both sexes,5.08 [4.74-5.43]
4235,Kenya,2016,Neonatal mortality rate (per 1000 live births),Both sexes,22.31 [17.52-28.59]
4301,Kiribati,2016,Neonatal mortality rate (per 1000 live births),Both sexes,23.39 [12.25-39.6]
4332,Kuwait,2016,Neonatal mortality rate (per 1000 live births),Both sexes,4.83 [4.53-5.14]
4367,Kyrgyzstan,2016,Neonatal mortality rate (per 1000 live births),Both sexes,14.1 [12.44-15.81]
4408,Lao People's Democratic Republic,2016,Neonatal mortality rate (per 1000 live births),Both sexes,23.74 [18.45-29.73]
4446,Latvia,2016,Neonatal mortality rate (per 1000 live births),Both sexes,2.36 [2.09-2.64]
4486,Lebanon,2016,Neonatal mortality rate (per 1000 live births),Both sexes,4.63 [2.13-8.85]
4533,Lesotho,2016,Neonatal mortality rate (per 1000 live births),Both sexes,43.68 [32.59-58.15]
4599,Liberia,2016,Neonatal mortality rate (per 1000 live births),Both sexes,33.07 [27.28-39.98]
