,Location,Period,Indicator,First Tooltip
2,Afghanistan,2015,Maternal mortality ratio (per 100 000 live births),701 [501-1020]
20,Albania,2015,Maternal mortality ratio (per 100 000 live births),15 [8-25]
38,Algeria,2015,Maternal mortality ratio (per 100 000 live births),114 [67-199]
56,Angola,2015,Maternal mortality ratio (per 100 000 live births),251 [178-353]
74,Antigua and Barbuda,2015,Maternal mortality ratio (per 100 000 live births),43 [25-70]
92,Argentina,2015,Maternal mortality ratio (per 100 000 live births),41 [39-44]
110,Armenia,2015,Maternal mortality ratio (per 100 000 live births),28 [23-34]
128,Australia,2015,Maternal mortality ratio (per 100 000 live births),6 [5-8]
146,Austria,2015,Maternal mortality ratio (per 100 000 live births),5 [4-7]
164,Azerbaijan,2015,Maternal mortality ratio (per 100 000 live births),27 [23-33]
182,Bahamas,2015,Maternal mortality ratio (per 100 000 live births),74 [52-109]
200,Bahrain,2015,Maternal mortality ratio (per 100 000 live births),15 [11-21]
218,Bangladesh,2015,Maternal mortality ratio (per 100 000 live births),200 [155-263]
236,Barbados,2015,Maternal mortality ratio (per 100 000 live births),31 [20-44]
254,Belarus,2015,Maternal mortality ratio (per 100 000 live births),3 [2-4]
272,Belgium,2015,Maternal mortality ratio (per 100 000 live births),5 [4-7]
290,Belize,2015,Maternal mortality ratio (per 100 000 live births),43 [31-55]
308,Benin,2015,Maternal mortality ratio (per 100 000 live births),421 [316-584]
326,Bhutan,2015,Maternal mortality ratio (per 100 000 live births),203 [145-310]
344,Bolivia (Plurinational State of),2015,Maternal mortality ratio (per 100 000 live births),168 [125-223]
362,Bosnia and Herzegovina,2015,Maternal mortality ratio (per 100 000 live births),10 [5-16]
380,Botswana,2015,Maternal mortality ratio (per 100 000 live births),156 [136-179]
398,Brazil,2015,Maternal mortality ratio (per 100 000 live births),63 [62-64]
416,Brunei Darussalam,2015,Maternal mortality ratio (per 100 000 live births),30 [21-43]
434,Bulgaria,2015,Maternal mortality ratio (per 100 000 live births),10 [7-14]
452,Burkina Faso,2015,Maternal mortality ratio (per 100 000 live births),343 [241-471]
470,Burundi,2015,Maternal mortality ratio (per 100 000 live births),568 [439-733]
488,Cabo Verde,2015,Maternal mortality ratio (per 100 000 live births),61 [48-76]
506,Cambodia,2015,Maternal mortality ratio (per 100 000 live births),178 [134-239]
524,Cameroon,2015,Maternal mortality ratio (per 100 000 live births),554 [404-796]
542,Canada,2015,Maternal mortality ratio (per 100 000 live births),11 [8-14]
560,Central African Republic,2015,Maternal mortality ratio (per 100 000 live births),912 [523-1580]
578,Chad,2015,Maternal mortality ratio (per 100 000 live births),1160 [880-1570]
596,Chile,2015,Maternal mortality ratio (per 100 000 live births),14 [13-16]
614,China,2015,Maternal mortality ratio (per 100 000 live births),30 [24-36]
632,Colombia,2015,Maternal mortality ratio (per 100 000 live births),85 [74-98]
650,Comoros,2015,Maternal mortality ratio (per 100 000 live births),285 [178-447]
668,Congo,2015,Maternal mortality ratio (per 100 000 live births),416 [306-560]
686,Costa Rica,2015,Maternal mortality ratio (per 100 000 live births),28 [25-32]
704,Côte d’Ivoire,2015,Maternal mortality ratio (per 100 000 live births),658 [464-930]
