,Location,Period,Indicator,Dim1,First Tooltip
0,Afghanistan,2019,Life expectancy at birth (years),Both sexes,63.21
12,Albania,2019,Life expectancy at birth (years),Both sexes,78.0
24,Algeria,2019,Life expectancy at birth (years),Both sexes,77.13
36,Angola,2019,Life expectancy at birth (years),Both sexes,63.06
48,Antigua and Barbuda,2019,Life expectancy at birth (years),Both sexes,76.45
60,Argentina,2019,Life expectancy at birth (years),Both sexes,76.58
72,Armenia,2019,Life expectancy at birth (years),Both sexes,76.03
84,Australia,2019,Life expectancy at birth (years),Both sexes,83.04
96,Austria,2019,Life expectancy at birth (years),Both sexes,81.65
108,Azerbaijan,2019,Life expectancy at birth (years),Both sexes,71.43
120,Bahamas,2019,Life expectancy at birth (years),Both sexes,73.21
132,Bahrain,2019,Life expectancy at birth (years),Both sexes,75.81
144,Bangladesh,2019,Life expectancy at birth (years),Both sexes,74.25
156,Barbados,2019,Life expectancy at birth (years),Both sexes,76.03
168,Belarus,2019,Life expectancy at birth (years),Both sexes,74.81
180,Belgium,2019,Life expectancy at birth (years),Both sexes,81.42
192,Belize,2019,Life expectancy at birth (years),Both sexes,74.41
204,Benin,2019,Life expectancy at birth (years),Both sexes,63.43
216,Bhutan,2019,Life expectancy at birth (years),Both sexes,73.11
228,Bolivia (Plurinational State of),2019,Life expectancy at birth (years),Both sexes,72.14
240,Bosnia and Herzegovina,2019,Life expectancy at birth (years),Both sexes,76.75
252,Botswana,2019,Life expectancy at birth (years),Both sexes,62.25
264,Brazil,2019,Life expectancy at birth (years),Both sexes,75.9
276,Brunei Darussalam,2019,Life expectancy at birth (years),Both sexes,74.32
288,Bulgaria,2019,Life expectancy at birth (years),Both sexes,75.07
300,Burkina Faso,2019,Life expectancy at birth (years),Both sexes,62.7
312,Burundi,2019,Life expectancy at birth (years),Both sexes,63.84
324,Cabo Verde,2019,Life expectancy at birth (years),Both sexes,74.03
336,Cambodia,2019,Life expectancy at birth (years),Both sexes,70.12
348,Cameroon,2019,Life expectancy at birth (years),Both sexes,62.36
360,Canada,2019,Life expectancy at birth (years),Both sexes,82.24
373,Central African Republic,2019,Life expectancy at birth (years),Both sexes,53.1
385,Chad,2019,Life expectancy at birth (years),Both sexes,59.63
397,Chile,2019,Life expectancy at birth (years),Both sexes,80.74
409,China,2019,Life expectancy at birth (years),Both sexes,77.43
421,Colombia,2019,Life expectancy at birth (years),Both sexes,79.31
433,Comoros,2019,Life expectancy at birth (years),Both sexes,67.39
445,Congo,2019,Life expectancy at birth (years),Both sexes,64.74
