Location,Indicator,Period,Dim1,First Tooltip
Afghanistan,Population using at least basic sanitation services (%),2015,Total,40.71
Albania,Population using at least basic sanitation services (%),2015,Total,97.69
Algeria,Population using at least basic sanitation services (%),2015,Total,87.5
Andorra,Population using at least basic sanitation services (%),2015,Total,100.0
Angola,Population using at least basic sanitation services (%),2015,Total,47.37
Antigua and Barbuda,Population using at least basic sanitation services (%),2015,Total,87.5
Argentina,Population using at least basic sanitation services (%),2015,Total,94.23
Armenia,Population using at least basic sanitation services (%),2015,Total,93.06
Australia,Population using at least basic sanitation services (%),2015,Total,99.99
Austria,Population using at least basic sanitation services (%),2015,Total,99.98
Azerbaijan,Population using at least basic sanitation services (%),2015,Total,92.46
Bahamas,Population using at least basic sanitation services (%),2015,Total,94.93
Bahrain,Population using at least basic sanitation services (%),2015,Total,100.0
Bangladesh,Population using at least basic sanitation services (%),2015,Total,45.74
Barbados,Population using at least basic sanitation services (%),2015,Total,96.36
Belarus,Population using at least basic sanitation services (%),2015,Total,97.76
Belgium,Population using at least basic sanitation services (%),2015,Total,99.49
Belize,Population using at least basic sanitation services (%),2015,Total,87.21
Benin,Population using at least basic sanitation services (%),2015,Total,16.01
Bhutan,Population using at least basic sanitation services (%),2015,Total,67.29
Bolivia (Plurinational State of),Population using at least basic sanitation services (%),2015,Total,56.91
Bosnia and Herzegovina,Population using at least basic sanitation services (%),2015,Total,95.31
Botswana,Population using at least basic sanitation services (%),2015,Total,74.76
Brazil,Population using at least basic sanitation services (%),2015,Total,86.55
Brunei Darussalam,Population using at least basic sanitation services (%),2015,Total,96.35
Bulgaria,Population using at least basic sanitation services (%),2015,Total,85.98
Burkina Faso,Population using at least basic sanitation services (%),2015,Total,18.83
Burundi,Population using at least basic sanitation services (%),2015,Total,45.88
Cabo Verde,Population using at least basic sanitation services (%),2015,Total,70.47
Cambodia,Population using at least basic sanitation services (%),2015,Total,53.39
Cameroon,Population using at least basic sanitation services (%),2015,Total,38.86
Canada,Population using at least basic sanitation services (%),2015,Total,99.36
Central African Republic,Population using at least basic sanitation services (%),2015,Total,25.18
Chad,Population using at least basic sanitation services (%),2015,Total,8.84
Chile,Population using at least basic sanitation services (%),2015,Total,99.63
China,Population using at least basic sanitation services (%),2015,Total,81.68
Colombia,Population using at least basic sanitation services (%),2015,Total,87.55
Comoros,Population using at least basic sanitation services (%),2015,Total,35.82
Congo,Population using at least basic sanitation services (%),2015,Total,18.94
Cook Islands,Population using at least basic sanitation services (%),2015,Total,97.63
Costa Rica,Population using at least basic sanitation services (%),2015,Total,97.27
Côte d’Ivoire,Population using at least basic sanitation services (%),2015,Total,30.57
Croatia,Population using at least basic sanitation services (%),2015,Total,96.49
Cuba,Population using at least basic sanitation services (%),2015,Total,92.43
Cyprus,Population using at least basic sanitation services (%),2015,Total,99.26
Czechia,Population using at least basic sanitation services (%),2015,Total,99.14
Democratic People's Republic of Korea,Population using at least basic sanitation services (%),2015,Total,81.67
Democratic Republic of the Congo,Population using at least basic sanitation services (%),2015,Total,20.44
Denmark,Population using at least basic sanitation services (%),2015,Total,99.6
Djibouti,Population using at least basic sanitation services (%),2015,Total,61.09
Dominica,Population using at least basic sanitation services (%),2015,Total,77.89
Dominican Republic,Population using at least basic sanitation services (%),2015,Total,83.18
Ecuador,Population using at least basic sanitation services (%),2015,Total,86.1
Egypt,Population using at least basic sanitation services (%),2015,Total,93.97
El Salvador,Population using at least basic sanitation services (%),2015,Total,87.01
Equatorial Guinea,Population using at least basic sanitation services (%),2015,Total,66.18
Eritrea,Population using at least basic sanitation services (%),2015,Total,11.84
Estonia,Population using at least basic sanitation services (%),2015,Total,99.13
Eswatini,Population using at least basic sanitation services (%),2015,Total,57.87
Ethiopia,Population using at least basic sanitation services (%),2015,Total,6.86
Fiji,Population using at least basic sanitation services (%),2015,Total,94.54
Finland,Population using at least basic sanitation services (%),2015,Total,99.45
France,Population using at least basic sanitation services (%),2015,Total,98.65
Gabon,Population using at least basic sanitation services (%),2015,Total,47.32
Gambia,Population using at least basic sanitation services (%),2015,Total,39.01
Georgia,Population using at least basic sanitation services (%),2015,Total,90.49
Germany,Population using at least basic sanitation services (%),2015,Total,99.22
Ghana,Population using at least basic sanitation services (%),2015,Total,17.15
Greece,Population using at least basic sanitation services (%),2015,Total,98.98
Grenada,Population using at least basic sanitation services (%),2015,Total,91.49
Guatemala,Population using at least basic sanitation services (%),2015,Total,64.98
Guinea,Population using at least basic sanitation services (%),2015,Total,21.06
Guinea-Bissau,Population using at least basic sanitation services (%),2015,Total,19.82
Guyana,Population using at least basic sanitation services (%),2015,Total,85.35
Haiti,Population using at least basic sanitation services (%),2015,Total,32.5
Honduras,Population using at least basic sanitation services (%),2015,Total,79.22
Hungary,Population using at least basic sanitation services (%),2015,Total,98.0
Iceland,Population using at least basic sanitation services (%),2015,Total,98.78
India,Population using at least basic sanitation services (%),2015,Total,54.35
Indonesia,Population using at least basic sanitation services (%),2015,Total,69.38
Iran (Islamic Republic of),Population using at least basic sanitation services (%),2015,Total,88.29
Iraq,Population using at least basic sanitation services (%),2015,Total,90.74
Ireland,Population using at least basic sanitation services (%),2015,Total,91.05
Israel,Population using at least basic sanitation services (%),2015,Total,100.0
Italy,Population using at least basic sanitation services (%),2015,Total,98.77
Jamaica,Population using at least basic sanitation services (%),2015,Total,86.95
Japan,Population using at least basic sanitation services (%),2015,Total,99.91
Jordan,Population using at least basic sanitation services (%),2015,Total,97.53
Kazakhstan,Population using at least basic sanitation services (%),2015,Total,97.74
Kenya,Population using at least basic sanitation services (%),2015,Total,29.55
Kiribati,Population using at least basic sanitation services (%),2015,Total,45.36
Kuwait,Population using at least basic sanitation services (%),2015,Total,100.0
Kyrgyzstan,Population using at least basic sanitation services (%),2015,Total,96.54
Lao People's Democratic Republic,Population using at least basic sanitation services (%),2015,Total,69.39
Latvia,Population using at least basic sanitation services (%),2015,Total,91.42
Lebanon,Population using at least basic sanitation services (%),2015,Total,95.36
Lesotho,Population using at least basic sanitation services (%),2015,Total,39.06
Liberia,Population using at least basic sanitation services (%),2015,Total,16.69
Libya,Population using at least basic sanitation services (%),2015,Total,99.86
Lithuania,Population using at least basic sanitation services (%),2015,Total,92.27
Luxembourg,Population using at least basic sanitation services (%),2015,Total,97.61
Madagascar,Population using at least basic sanitation services (%),2015,Total,9.74
Malawi,Population using at least basic sanitation services (%),2015,Total,25.58
Malaysia,Population using at least basic sanitation services (%),2015,Total,99.56
Maldives,Population using at least basic sanitation services (%),2015,Total,99.05
Mali,Population using at least basic sanitation services (%),2015,Total,36.18
Malta,Population using at least basic sanitation services (%),2015,Total,99.96
Marshall Islands,Population using at least basic sanitation services (%),2015,Total,82.97
Mauritania,Population using at least basic sanitation services (%),2015,Total,43.5
Mauritius,Population using at least basic sanitation services (%),2015,Total,95.51
Mexico,Population using at least basic sanitation services (%),2015,Total,89.42
Micronesia (Federated States of),Population using at least basic sanitation services (%),2015,Total,88.31
Monaco,Population using at least basic sanitation services (%),2015,Total,100.0
Mongolia,Population using at least basic sanitation services (%),2015,Total,57.98
Montenegro,Population using at least basic sanitation services (%),2015,Total,97.73
Morocco,Population using at least basic sanitation services (%),2015,Total,87.54
Mozambique,Population using at least basic sanitation services (%),2015,Total,26.87
Myanmar,Population using at least basic sanitation services (%),2015,Total,65.09
Namibia,Population using at least basic sanitation services (%),2015,Total,33.9
Nauru,Population using at least basic sanitation services (%),2015,Total,65.6
Nepal,Population using at least basic sanitation services (%),2015,Total,55.74
Netherlands,Population using at least basic sanitation services (%),2015,Total,97.74
New Zealand,Population using at least basic sanitation services (%),2015,Total,100.0
Nicaragua,Population using at least basic sanitation services (%),2015,Total,73.39
Niger,Population using at least basic sanitation services (%),2015,Total,12.75
Nigeria,Population using at least basic sanitation services (%),2015,Total,37.68
Niue,Population using at least basic sanitation services (%),2015,Total,96.77
Norway,Population using at least basic sanitation services (%),2015,Total,98.06
Oman,Population using at least basic sanitation services (%),2015,Total,100.0
Pakistan,Population using at least basic sanitation services (%),2015,Total,56.64
Palau,Population using at least basic sanitation services (%),2015,Total,100.0
Panama,Population using at least basic sanitation services (%),2015,Total,81.14
Papua New Guinea,Population using at least basic sanitation services (%),2015,Total,14.13
Paraguay,Population using at least basic sanitation services (%),2015,Total,87.67
Peru,Population using at least basic sanitation services (%),2015,Total,73.34
Philippines,Population using at least basic sanitation services (%),2015,Total,74.26
Poland,Population using at least basic sanitation services (%),2015,Total,97.69
Portugal,Population using at least basic sanitation services (%),2015,Total,99.44
Qatar,Population using at least basic sanitation services (%),2015,Total,100.0
Republic of Korea,Population using at least basic sanitation services (%),2015,Total,100.0
Republic of Moldova,Population using at least basic sanitation services (%),2015,Total,75.35
The former Yugoslav Republic of Macedonia,Population using at least basic sanitation services (%),2015,Total,98.14
Romania,Population using at least basic sanitation services (%),2015,Total,82.81
Russian Federation,Population using at least basic sanitation services (%),2015,Total,89.64
Rwanda,Population using at least basic sanitation services (%),2015,Total,64.24
Saint Lucia,Population using at least basic sanitation services (%),2015,Total,88.37
Saint Vincent and the Grenadines,Population using at least basic sanitation services (%),2015,Total,87.18
Samoa,Population using at least basic sanitation services (%),2015,Total,98.07
San Marino,Population using at least basic sanitation services (%),2015,Total,100.0
Sao Tome and Principe,Population using at least basic sanitation services (%),2015,Total,41.36
Saudi Arabia,Population using at least basic sanitation services (%),2015,Total,99.8
Senegal,Population using at least basic sanitation services (%),2015,Total,50.09
Serbia,Population using at least basic sanitation services (%),2015,Total,97.64
Seychelles,Population using at least basic sanitation services (%),2015,Total,100.0
Sierra Leone,Population using at least basic sanitation services (%),2015,Total,14.94
Singapore,Population using at least basic sanitation services (%),2015,Total,100.0
Slovakia,Population using at least basic sanitation services (%),2015,Total,97.93
Slovenia,Population using at least basic sanitation services (%),2015,Total,99.11
Solomon Islands,Population using at least basic sanitation services (%),2015,Total,31.84
Somalia,Population using at least basic sanitation services (%),2015,Total,35.7
South Africa,Population using at least basic sanitation services (%),2015,Total,73.89
South Sudan,Population using at least basic sanitation services (%),2015,Total,9.6
Spain,Population using at least basic sanitation services (%),2015,Total,99.9
Sri Lanka,Population using at least basic sanitation services (%),2015,Total,94.43
Sudan,Population using at least basic sanitation services (%),2015,Total,35.07
Suriname,Population using at least basic sanitation services (%),2015,Total,83.83
Sweden,Population using at least basic sanitation services (%),2015,Total,99.3
Switzerland,Population using at least basic sanitation services (%),2015,Total,99.89
Syrian Arab Republic,Population using at least basic sanitation services (%),2015,Total,91.56
Tajikistan,Population using at least basic sanitation services (%),2015,Total,96.13
Thailand,Population using at least basic sanitation services (%),2015,Total,97.96
Timor-Leste,Population using at least basic sanitation services (%),2015,Total,51.32
