,Location,Period,Indicator,Dim1,First Tooltip
0,Afghanistan,2019,Healthy life expectancy (HALE) at birth (years),Both sexes,53.95
12,Albania,2019,Healthy life expectancy (HALE) at birth (years),Both sexes,69.08
24,Algeria,2019,Healthy life expectancy (HALE) at birth (years),Both sexes,66.39
36,Angola,2019,Healthy life expectancy (HALE) at birth (years),Both sexes,54.84
48,Antigua and Barbuda,2019,Healthy life expectancy (HALE) at birth (years),Both sexes,66.97
60,Argentina,2019,Healthy life expectancy (HALE) at birth (years),Both sexes,67.13
72,Armenia,2019,Healthy life expectancy (HALE) at birth (years),Both sexes,67.12
84,Australia,2019,Healthy life expectancy (HALE) at birth (years),Both sexes,70.93
96,Austria,2019,Healthy life expectancy (HALE) at birth (years),Both sexes,70.94
108,Azerbaijan,2019,Healthy life expectancy (HALE) at birth (years),Both sexes,63.65
120,Bahamas,2019,Healthy life expectancy (HALE) at birth (years),Both sexes,64.35
132,Bahrain,2019,Healthy life expectancy (HALE) at birth (years),Both sexes,65.88
144,Bangladesh,2019,Healthy life expectancy (HALE) at birth (years),Both sexes,64.3
156,Barbados,2019,Healthy life expectancy (HALE) at birth (years),Both sexes,66.99
168,Belarus,2019,Healthy life expectancy (HALE) at birth (years),Both sexes,65.97
180,Belgium,2019,Healthy life expectancy (HALE) at birth (years),Both sexes,70.56
192,Belize,2019,Healthy life expectancy (HALE) at birth (years),Both sexes,65.29
204,Benin,2019,Healthy life expectancy (HALE) at birth (years),Both sexes,55.52
216,Bhutan,2019,Healthy life expectancy (HALE) at birth (years),Both sexes,63.36
228,Bolivia (Plurinational State of),2019,Healthy life expectancy (HALE) at birth (years),Both sexes,63.27
240,Bosnia and Herzegovina,2019,Healthy life expectancy (HALE) at birth (years),Both sexes,67.19
252,Botswana,2019,Healthy life expectancy (HALE) at birth (years),Both sexes,53.89
264,Brazil,2019,Healthy life expectancy (HALE) at birth (years),Both sexes,65.4
276,Brunei Darussalam,2019,Healthy life expectancy (HALE) at birth (years),Both sexes,65.65
288,Bulgaria,2019,Healthy life expectancy (HALE) at birth (years),Both sexes,66.28
300,Burkina Faso,2019,Healthy life expectancy (HALE) at birth (years),Both sexes,54.86
312,Burundi,2019,Healthy life expectancy (HALE) at birth (years),Both sexes,55.58
324,Cabo Verde,2019,Healthy life expectancy (HALE) at birth (years),Both sexes,64.8
336,Cambodia,2019,Healthy life expectancy (HALE) at birth (years),Both sexes,61.51
348,Cameroon,2019,Healthy life expectancy (HALE) at birth (years),Both sexes,54.52
360,Canada,2019,Healthy life expectancy (HALE) at birth (years),Both sexes,71.25
372,Central African Republic,2019,Healthy life expectancy (HALE) at birth (years),Both sexes,46.37
384,Chad,2019,Healthy life expectancy (HALE) at birth (years),Both sexes,52.02
396,Chile,2019,Healthy life expectancy (HALE) at birth (years),Both sexes,70.05
408,China,2019,Healthy life expectancy (HALE) at birth (years),Both sexes,68.53
420,Colombia,2019,Healthy life expectancy (HALE) at birth (years),Both sexes,68.96
432,Comoros,2019,Healthy life expectancy (HALE) at birth (years),Both sexes,58.95
444,Congo,2019,Healthy life expectancy (HALE) at birth (years),Both sexes,56.25
456,Costa Rica,2019,Healthy life expectancy (HALE) at birth (years),Both sexes,69.97
468,Côte d’Ivoire,2019,Healthy life expectancy (HALE) at birth (years),Both sexes,54.81
480,Croatia,2019,Healthy life expectancy (HALE) at birth (years),Both sexes,68.62
492,Cuba,2019,Healthy life expectancy (HALE) at birth (years),Both sexes,67.84
504,Cyprus,2019,Healthy life expectancy (HALE) at birth (years),Both sexes,72.41
516,Czechia,2019,Healthy life expectancy (HALE) at birth (years),Both sexes,68.79
528,Democratic People's Republic of Korea,2019,Healthy life expectancy (HALE) at birth (years),Both sexes,65.01
540,Democratic Republic of the Congo,2019,Healthy life expectancy (HALE) at birth (years),Both sexes,54.09
552,Denmark,2019,Healthy life expectancy (HALE) at birth (years),Both sexes,71.04
564,Djibouti,2019,Healthy life expectancy (HALE) at birth (years),Both sexes,58.0
576,Dominican Republic,2019,Healthy life expectancy (HALE) at birth (years),Both sexes,63.98
588,Ecuador,2019,Healthy life expectancy (HALE) at birth (years),Both sexes,68.48
600,Egypt,2019,Healthy life expectancy (HALE) at birth (years),Both sexes,62.97
612,El Salvador,2019,Healthy life expectancy (HALE) at birth (years),Both sexes,64.87
624,Equatorial Guinea,2019,Healthy life expectancy (HALE) at birth (years),Both sexes,53.86
636,Eritrea,2019,Healthy life expectancy (HALE) at birth (years),Both sexes,55.73
648,Estonia,2019,Healthy life expectancy (HALE) at birth (years),Both sexes,69.24
660,Eswatini,2019,Healthy life expectancy (HALE) at birth (years),Both sexes,50.06
672,Ethiopia,2019,Healthy life expectancy (HALE) at birth (years),Both sexes,59.89
684,Fiji,2019,Healthy life expectancy (HALE) at birth (years),Both sexes,59.59
696,Finland,2019,Healthy life expectancy (HALE) at birth (years),Both sexes,71.0
708,France,2019,Healthy life expectancy (HALE) at birth (years),Both sexes,72.08
720,Gabon,2019,Healthy life expectancy (HALE) at birth (years),Both sexes,57.56
732,Gambia,2019,Healthy life expectancy (HALE) at birth (years),Both sexes,57.04
744,Georgia,2019,Healthy life expectancy (HALE) at birth (years),Both sexes,64.68
756,Germany,2019,Healthy life expectancy (HALE) at birth (years),Both sexes,70.89
768,Ghana,2019,Healthy life expectancy (HALE) at birth (years),Both sexes,57.98
780,Greece,2019,Healthy life expectancy (HALE) at birth (years),Both sexes,70.87
792,Grenada,2019,Healthy life expectancy (HALE) at birth (years),Both sexes,63.92
804,Guatemala,2019,Healthy life expectancy (HALE) at birth (years),Both sexes,62.3
816,Guinea,2019,Healthy life expectancy (HALE) at birth (years),Both sexes,53.32
828,Guinea-Bissau,2019,Healthy life expectancy (HALE) at birth (years),Both sexes,52.62
840,Guyana,2019,Healthy life expectancy (HALE) at birth (years),Both sexes,57.24
852,Haiti,2019,Healthy life expectancy (HALE) at birth (years),Both sexes,55.8
864,Honduras,2019,Healthy life expectancy (HALE) at birth (years),Both sexes,62.98
876,Hungary,2019,Healthy life expectancy (HALE) at birth (years),Both sexes,67.19
888,Iceland,2019,Healthy life expectancy (HALE) at birth (years),Both sexes,71.98
900,India,2019,Healthy life expectancy (HALE) at birth (years),Both sexes,60.33
912,Indonesia,2019,Healthy life expectancy (HALE) at birth (years),Both sexes,62.83
924,Iran (Islamic Republic of),2019,Healthy life expectancy (HALE) at birth (years),Both sexes,66.26
936,Iraq,2019,Healthy life expectancy (HALE) at birth (years),Both sexes,62.66
948,Ireland,2019,Healthy life expectancy (HALE) at birth (years),Both sexes,71.07
960,Israel,2019,Healthy life expectancy (HALE) at birth (years),Both sexes,72.38
972,Italy,2019,Healthy life expectancy (HALE) at birth (years),Both sexes,71.92
984,Jamaica,2019,Healthy life expectancy (HALE) at birth (years),Both sexes,66.55
996,Japan,2019,Healthy life expectancy (HALE) at birth (years),Both sexes,74.09
1008,Jordan,2019,Healthy life expectancy (HALE) at birth (years),Both sexes,67.6
1020,Kazakhstan,2019,Healthy life expectancy (HALE) at birth (years),Both sexes,64.99
1032,Kenya,2019,Healthy life expectancy (HALE) at birth (years),Both sexes,57.68
1044,Kiribati,2019,Healthy life expectancy (HALE) at birth (years),Both sexes,52.62
1056,Kuwait,2019,Healthy life expectancy (HALE) at birth (years),Both sexes,70.09
1068,Kyrgyzstan,2019,Healthy life expectancy (HALE) at birth (years),Both sexes,65.78
1080,Lao People's Democratic Republic,2019,Healthy life expectancy (HALE) at birth (years),Both sexes,60.51
1092,Latvia,2019,Healthy life expectancy (HALE) at birth (years),Both sexes,66.25
1104,Lebanon,2019,Healthy life expectancy (HALE) at birth (years),Both sexes,65.96
1116,Lesotho,2019,Healthy life expectancy (HALE) at birth (years),Both sexes,44.24
1128,Liberia,2019,Healthy life expectancy (HALE) at birth (years),Both sexes,54.91
1140,Libya,2019,Healthy life expectancy (HALE) at birth (years),Both sexes,65.22
1152,Lithuania,2019,Healthy life expectancy (HALE) at birth (years),Both sexes,66.69
1164,Luxembourg,2019,Healthy life expectancy (HALE) at birth (years),Both sexes,71.55
1176,Madagascar,2019,Healthy life expectancy (HALE) at birth (years),Both sexes,57.31
1188,Malawi,2019,Healthy life expectancy (HALE) at birth (years),Both sexes,57.06
1200,Malaysia,2019,Healthy life expectancy (HALE) at birth (years),Both sexes,65.66
1212,Maldives,2019,Healthy life expectancy (HALE) at birth (years),Both sexes,69.95
1224,Mali,2019,Healthy life expectancy (HALE) at birth (years),Both sexes,54.63
1236,Malta,2019,Healthy life expectancy (HALE) at birth (years),Both sexes,71.46
1248,Mauritania,2019,Healthy life expectancy (HALE) at birth (years),Both sexes,59.76
1260,Mauritius,2019,Healthy life expectancy (HALE) at birth (years),Both sexes,63.94
1272,Mexico,2019,Healthy life expectancy (HALE) at birth (years),Both sexes,65.76
1284,Micronesia (Federated States of),2019,Healthy life expectancy (HALE) at birth (years),Both sexes,55.98
1296,Mongolia,2019,Healthy life expectancy (HALE) at birth (years),Both sexes,60.29
1308,Montenegro,2019,Healthy life expectancy (HALE) at birth (years),Both sexes,66.97
1320,Morocco,2019,Healthy life expectancy (HALE) at birth (years),Both sexes,63.69
1332,Mozambique,2019,Healthy life expectancy (HALE) at birth (years),Both sexes,50.36
1344,Myanmar,2019,Healthy life expectancy (HALE) at birth (years),Both sexes,60.85
1356,Namibia,2019,Healthy life expectancy (HALE) at birth (years),Both sexes,56.06
1368,Nepal,2019,Healthy life expectancy (HALE) at birth (years),Both sexes,61.34
1380,Netherlands,2019,Healthy life expectancy (HALE) at birth (years),Both sexes,71.44
1392,New Zealand,2019,Healthy life expectancy (HALE) at birth (years),Both sexes,70.24
1404,Nicaragua,2019,Healthy life expectancy (HALE) at birth (years),Both sexes,65.46
1416,Niger,2019,Healthy life expectancy (HALE) at birth (years),Both sexes,55.52
1428,Nigeria,2019,Healthy life expectancy (HALE) at birth (years),Both sexes,54.39
