,Location,Period,Indicator,Dim1,First Tooltip
12,Afghanistan,2015,Under-five mortality rate (probability of dying by age 5 per 1000 live births),Both sexes,70.44 [60.72-80.86]
186,Albania,2015,Under-five mortality rate (probability of dying by age 5 per 1000 live births),Both sexes,9.57 [9.23-9.94]
312,Algeria,2015,Under-five mortality rate (probability of dying by age 5 per 1000 live births),Both sexes,25.18 [24.61-25.75]
510,Andorra,2015,Under-five mortality rate (probability of dying by age 5 per 1000 live births),Both sexes,3.53 [1.23-10.59]
615,Angola,2015,Under-five mortality rate (probability of dying by age 5 per 1000 live births),Both sexes,88.2 [46.58-149.6]
735,Antigua and Barbuda,2015,Under-five mortality rate (probability of dying by age 5 per 1000 live births),Both sexes,7.75 [6.27-9.56]
945,Argentina,2015,Under-five mortality rate (probability of dying by age 5 per 1000 live births),Both sexes,11.47 [11.25-11.7]
1098,Armenia,2015,Under-five mortality rate (probability of dying by age 5 per 1000 live births),Both sexes,14.38 [11.5-17.45]
1230,Australia,2015,Under-five mortality rate (probability of dying by age 5 per 1000 live births),Both sexes,3.86 [3.77-3.95]
1440,Austria,2015,Under-five mortality rate (probability of dying by age 5 per 1000 live births),Both sexes,3.71 [3.55-3.87]
1650,Azerbaijan,2015,Under-five mortality rate (probability of dying by age 5 per 1000 live births),Both sexes,26.33 [19.78-35.01]
1764,Bahamas,2015,Under-five mortality rate (probability of dying by age 5 per 1000 live births),Both sexes,13.96 [12.36-15.75]
1920,Bahrain,2015,Under-five mortality rate (probability of dying by age 5 per 1000 live births),Both sexes,7.57 [6.82-8.4]
2112,Bangladesh,2015,Under-five mortality rate (probability of dying by age 5 per 1000 live births),Both sexes,37.54 [35.72-39.51]
2322,Barbados,2015,Under-five mortality rate (probability of dying by age 5 per 1000 live births),Both sexes,14.03 [11.54-17.09]
2532,Belarus,2015,Under-five mortality rate (probability of dying by age 5 per 1000 live births),Both sexes,4.03 [3.9-4.18]
2652,Belgium,2015,Under-five mortality rate (probability of dying by age 5 per 1000 live births),Both sexes,3.94 [3.78-4.1]
2862,Belize,2015,Under-five mortality rate (probability of dying by age 5 per 1000 live births),Both sexes,15.33 [14.35-16.32]
3021,Benin,2015,Under-five mortality rate (probability of dying by age 5 per 1000 live births),Both sexes,99.59 [89.78-110.3]
3231,Bhutan,2015,Under-five mortality rate (probability of dying by age 5 per 1000 live births),Both sexes,33.08 [24-44.24]
3384,Bolivia (Plurinational State of),2015,Under-five mortality rate (probability of dying by age 5 per 1000 live births),Both sexes,30.98 [25.71-36.94]
3564,Bosnia and Herzegovina,2015,Under-five mortality rate (probability of dying by age 5 per 1000 live births),Both sexes,6.26 [5.88-6.67]
3672,Botswana,2015,Under-five mortality rate (probability of dying by age 5 per 1000 live births),Both sexes,41.17 [18.62-70.06]
3867,Brazil,2015,Under-five mortality rate (probability of dying by age 5 per 1000 live births),Both sexes,15.72 [14.96-16.5]
4062,Brunei Darussalam,2015,Under-five mortality rate (probability of dying by age 5 per 1000 live births),Both sexes,10.6 [9.9-11.36]
4272,Bulgaria,2015,Under-five mortality rate (probability of dying by age 5 per 1000 live births),Both sexes,8.13 [7.83-8.44]
4482,Burkina Faso,2015,Under-five mortality rate (probability of dying by age 5 per 1000 live births),Both sexes,100.7 [82.53-122.8]
4692,Burundi,2015,Under-five mortality rate (probability of dying by age 5 per 1000 live births),Both sexes,67.23 [51.28-87.97]
4860,Cabo Verde,2015,Under-five mortality rate (probability of dying by age 5 per 1000 live births),Both sexes,19.54 [18.07-21.12]
5070,Cambodia,2015,Under-five mortality rate (probability of dying by age 5 per 1000 live births),Both sexes,31.62 [20.56-48.47]
5205,Cameroon,2015,Under-five mortality rate (probability of dying by age 5 per 1000 live births),Both sexes,88.46 [78.99-98.77]
5403,Canada,2015,Under-five mortality rate (probability of dying by age 5 per 1000 live births),Both sexes,5.28 [5.19-5.38]
5613,Central African Republic,2015,Under-five mortality rate (probability of dying by age 5 per 1000 live births),Both sexes,126.7 [84.35-192.2]
5793,Chad,2015,Under-five mortality rate (probability of dying by age 5 per 1000 live births),Both sexes,129.4 [109-152.1]
5937,Chile,2015,Under-five mortality rate (probability of dying by age 5 per 1000 live births),Both sexes,7.89 [7.62-8.18]
6120,China,2015,Under-five mortality rate (probability of dying by age 5 per 1000 live births),Both sexes,10.71 [10.07-11.4]
6273,Colombia,2015,Under-five mortality rate (probability of dying by age 5 per 1000 live births),Both sexes,15.62 [12.39-19.58]
6477,Comoros,2015,Under-five mortality rate (probability of dying by age 5 per 1000 live births),Both sexes,71.88 [39.12-138.7]
6627,Congo,2015,Under-five mortality rate (probability of dying by age 5 per 1000 live births),Both sexes,54.16 [37.72-77.58]
